census_cd	census_type	census_sub_cd	province_cd	region_cd	region_sub_cd	region_type	latitude	longitude	land_sq_km	pop_this	pop_last	pop_change	pop_change_pct	pop_per_sq_km	private_dwell	private_dwell_res
5370216.00	CT	537	ON		Hamilton		43.3422	-79.774	      2.18	    4065	    4090	-25	     -0.6	 1867.8	    1506	    1470
5370217.01	CT	537	ON		Hamilton		43.349	-79.7921	      2.19	    5199	    5053	146	      2.9	 2370.6	    2619	    2598
5370217.02	CT	537	ON		Hamilton		43.3571	-79.7831	      2.18	    3568	    3693	-125	     -3.4	 1633.4	    1391	    1384
5370218.00	CT	537	ON		Hamilton		43.3671	-79.7711	      4.37	    6863	    6753	110	      1.6	 1569.2	    2607	    2596
5370219.00	CT	537	ON		Hamilton		43.3558	-79.7571	      2.37	    4549	    4531	18	      0.4	 1918.2	    1633	    1611
5370220.00	CT	537	ON		Hamilton		43.3693	-79.7367	      1.80	    6113	    6119	-6	     -0.1	 3387.6	    2797	    2760
5370221.00	CT	537	ON		Hamilton		43.3726	-79.743	      1.14	    3066	    3081	-15	     -0.5	 2684.5	    1152	    1147
5370222.01	CT	537	ON		Hamilton		43.3833	-79.7609	      1.93	       5	       0	5	      0.0	    2.6	       4	       3
5370222.02	CT	537	ON		Hamilton		43.3793	-79.7527	      1.41	    4195	    4068	127	      3.1	 2969.3	    1782	    1763
5370222.03	CT	537	ON		Hamilton		43.3811	-79.7468	      1.01	    4601	    4525	76	      1.7	 4563.1	    1570	    1566
5370223.01	CT	537	ON		Hamilton		43.3601	-79.8105	      1.62	    2699	    2759	-60	     -2.2	 1670.2	    1006	    1001
5370223.02	CT	537	ON		Hamilton		43.3695	-79.8007	      2.49	    4691	    4766	-75	     -1.6	 1887.2	    1731	    1718
5370223.05	CT	537	ON		Hamilton		43.3806	-79.8297	      0.98	    3218	    3345	-127	     -3.8	 3272.3	     995	     989
5370223.06	CT	537	ON		Hamilton		43.3752	-79.8252	      1.44	    4128	    4386	-258	     -5.9	 2863.7	    1317	    1304
5370223.07	CT	537	ON		Hamilton		43.3786	-79.8137	      1.21	    4517	    4630	-113	     -2.4	 3747.3	    1724	    1718
5370223.09	CT	537	ON		Hamilton		43.4085	-79.7885	      2.85	    8239	    7116	1123	     15.8	 2894.7	    2549	    2514
5370223.10	CT	537	ON		Hamilton		43.4034	-79.7979	      1.25	    4468	    4225	243	      5.8	 3571.8	    1603	    1596
5370223.12	CT	537	ON		Hamilton		43.3892	-79.7844	      8.36	    7143	    6139	1004	     16.4	  854.4	    3002	    2976
5370223.13	CT	537	ON		Hamilton		43.3924	-79.8023	      1.80	    4439	    4378	61	      1.4	 2469.7	    1595	    1589
5370223.14	CT	537	ON		Hamilton		43.3937	-79.8081	      1.58	    4402	    3694	708	     19.2	 2789.1	    1462	    1459
5370223.15	CT	537	ON		Hamilton		43.3883	-79.8137	      0.73	    2375	    2342	33	      1.4	 3236.6	     858	     855
5370223.16	CT	537	ON		Hamilton		43.386	-79.8231	      0.58	    2066	    2119	-53	     -2.5	 3562.1	     799	     796
5370224.00	CT	537	ON		Hamilton		43.4206	-79.8805	     89.44	   11169	    3731	7438	    199.4	  124.9	    3863	    3727
5370300.00	CT	537	ON		Hamilton		43.1763	-79.5694	     45.95	    1905	    2079	-174	     -8.4	   41.5	     665	     647
5370301.00	CT	537	ON		Hamilton		43.2011	-79.6034	     11.12	    6373	    5130	1243	     24.2	  573.2	    2365	    2327
5370302.00	CT	537	ON		Hamilton		43.1942	-79.5644	      3.69	    5379	    5689	-310	     -5.4	 1459.4	    2470	    2404
5370303.01	CT	537	ON		Hamilton		43.1975	-79.5349	      1.87	    3706	    3646	60	      1.6	 1980.3	    1377	    1353
5370303.02	CT	537	ON		Hamilton		43.1796	-79.5318	      6.33	    7962	    7393	569	      7.7	 1257.3	    2918	    2870
5390001.00	CT	539	ON		St. Catharines - Niagara		43.1342	-79.2107	      2.82	    4042	    4212	-170	     -4.0	 1432.1	    1980	    1690
5390002.00	CT	539	ON		St. Catharines - Niagara		43.1237	-79.254	      8.04	    5931	    6572	-641	     -9.8	  737.4	    3402	    2689
5390003.01	CT	539	ON		St. Catharines - Niagara		43.1428	-79.2511	      1.86	    4548	    4665	-117	     -2.5	 2449.2	    2159	    1901
5390003.02	CT	539	ON		St. Catharines - Niagara		43.1253	-79.2654	      3.91	    8162	    7341	821	     11.2	 2086.0	    2733	    2697
5390004.01	CT	539	ON		St. Catharines - Niagara		43.1688	-79.2774	      1.69	    4314	    4267	47	      1.1	 2558.1	    1457	    1447
5390004.02	CT	539	ON		St. Catharines - Niagara		43.1617	-79.2681	      4.19	    3922	    3879	43	      1.1	  935.0	    1728	    1677
5390005.00	CT	539	ON		St. Catharines - Niagara		43.1587	-79.2489	      1.26	    3329	    3247	82	      2.5	 2636.0	    2315	    1919
5390006.00	CT	539	ON		St. Catharines - Niagara		43.1559	-79.2348	      2.27	    1889	    1965	-76	     -3.9	  830.4	     853	     791
5390007.01	CT	539	ON		St. Catharines - Niagara		43.1508	-79.2134	      2.43	    4460	    4379	81	      1.8	 1831.8	    1965	    1861
5390007.02	CT	539	ON		St. Catharines - Niagara		43.1481	-79.1977	      4.19	    5433	    5004	429	      8.6	 1297.9	    2128	    2049
5390008.00	CT	539	ON		St. Catharines - Niagara		43.1649	-79.215	      2.31	    2489	    2507	-18	     -0.7	 1079.8	    1238	    1178
5390009.00	CT	539	ON		St. Catharines - Niagara		43.1615	-79.2314	      2.22	    6318	    6527	-209	     -3.2	 2850.8	    3718	    3172
5390010.00	CT	539	ON		St. Catharines - Niagara		43.1694	-79.2458	      1.15	    3695	    3798	-103	     -2.7	 3209.7	    2006	    1865
5390011.00	CT	539	ON		St. Catharines - Niagara		43.1678	-79.259	      2.60	    7165	    7103	62	      0.9	 2758.3	    3311	    3088
